"","Id","locus","no_miss","miss","perc_no_miss","perc_miss"
"121","mindepth_10_10_40","locus122",33,41,0.445945945945946,0.554054054054054
"122","mindepth_10_10_40","locus123",34,40,0.459459459459459,0.540540540540541
"123","mindepth_10_10_40","locus124",35,39,0.472972972972973,0.527027027027027
"124","mindepth_10_10_40","locus125",36,38,0.486486486486487,0.513513513513513
"125","mindepth_10_10_40","locus126",35,39,0.472972972972973,0.527027027027027
"126","mindepth_10_10_40","locus127",34,40,0.459459459459459,0.540540540540541
"127","mindepth_10_10_40","locus128",74,NA,1,NA
"128","mindepth_10_10_40","locus129",55,19,0.743243243243243,0.256756756756757
"129","mindepth_10_10_40","locus130",73,1,0.986486486486487,0.0135135135135135
"130","mindepth_10_10_40","locus131",39,35,0.527027027027027,0.472972972972973
"131","mindepth_10_10_40","locus132",30,44,0.405405405405405,0.594594594594595
"132","mindepth_10_10_40","locus133",54,20,0.72972972972973,0.27027027027027
"133","mindepth_10_10_40","locus134",41,33,0.554054054054054,0.445945945945946
"134","mindepth_10_10_40","locus135",35,39,0.472972972972973,0.527027027027027
"135","mindepth_10_10_40","locus136",71,3,0.959459459459459,0.0405405405405405
"136","mindepth_10_10_40","locus137",43,31,0.581081081081081,0.418918918918919
"137","mindepth_10_10_40","locus138",34,40,0.459459459459459,0.540540540540541
"138","mindepth_10_10_40","locus139",59,15,0.797297297297297,0.202702702702703
"139","mindepth_10_10_40","locus140",38,36,0.513513513513513,0.486486486486487
"140","mindepth_10_10_40","locus141",39,35,0.527027027027027,0.472972972972973
"141","mindepth_10_10_40","locus142",34,40,0.459459459459459,0.540540540540541
"142","mindepth_10_10_40","locus143",33,41,0.445945945945946,0.554054054054054
"143","mindepth_10_10_40","locus144",41,33,0.554054054054054,0.445945945945946
"144","mindepth_10_10_40","locus145",68,6,0.918918918918919,0.0810810810810811
"145","mindepth_10_10_40","locus146",45,29,0.608108108108108,0.391891891891892
"146","mindepth_10_10_40","locus147",31,43,0.418918918918919,0.581081081081081
"147","mindepth_10_10_40","locus148",36,38,0.486486486486487,0.513513513513513
"148","mindepth_10_10_40","locus149",33,41,0.445945945945946,0.554054054054054
"149","mindepth_10_10_40","locus150",41,33,0.554054054054054,0.445945945945946
"150","mindepth_10_10_40","locus151",34,40,0.459459459459459,0.540540540540541
"151","mindepth_10_10_40","locus152",30,44,0.405405405405405,0.594594594594595
"152","mindepth_10_10_40","locus153",31,43,0.418918918918919,0.581081081081081
"153","mindepth_10_10_40","locus154",55,19,0.743243243243243,0.256756756756757
"154","mindepth_10_10_40","locus155",70,4,0.945945945945946,0.0540540540540541
"155","mindepth_10_10_40","locus156",69,5,0.932432432432432,0.0675675675675676
"156","mindepth_10_10_40","locus157",53,21,0.716216216216216,0.283783783783784
"157","mindepth_10_10_40","locus158",38,36,0.513513513513513,0.486486486486487
"158","mindepth_10_10_40","locus159",55,19,0.743243243243243,0.256756756756757
"159","mindepth_10_10_40","locus160",54,20,0.72972972972973,0.27027027027027
"160","mindepth_10_10_40","locus161",38,36,0.513513513513513,0.486486486486487
"161","mindepth_10_10_40","locus162",43,31,0.581081081081081,0.418918918918919
"162","mindepth_10_10_40","locus163",53,21,0.716216216216216,0.283783783783784
"163","mindepth_10_10_40","locus164",45,29,0.608108108108108,0.391891891891892
"164","mindepth_10_10_40","locus165",39,35,0.527027027027027,0.472972972972973
"165","mindepth_10_10_40","locus166",31,43,0.418918918918919,0.581081081081081
"166","mindepth_10_10_40","locus167",39,35,0.527027027027027,0.472972972972973
"167","mindepth_10_10_40","locus168",34,40,0.459459459459459,0.540540540540541
"168","mindepth_10_10_40","locus169",33,41,0.445945945945946,0.554054054054054
"169","mindepth_10_10_40","locus170",33,41,0.445945945945946,0.554054054054054
"170","mindepth_10_10_40","locus171",35,39,0.472972972972973,0.527027027027027
"171","mindepth_10_10_40","locus172",37,37,0.5,0.5
"172","mindepth_10_10_40","locus173",52,22,0.702702702702703,0.297297297297297
"173","mindepth_10_10_40","locus174",71,3,0.959459459459459,0.0405405405405405
"174","mindepth_10_10_40","locus175",31,43,0.418918918918919,0.581081081081081
"175","mindepth_10_10_40","locus176",40,34,0.540540540540541,0.459459459459459
"176","mindepth_10_10_40","locus177",73,1,0.986486486486487,0.0135135135135135
"177","mindepth_10_10_40","locus178",43,31,0.581081081081081,0.418918918918919
"178","mindepth_10_10_40","locus179",30,44,0.405405405405405,0.594594594594595
"179","mindepth_10_10_40","locus180",73,1,0.986486486486487,0.0135135135135135
"180","mindepth_10_10_40","locus181",35,39,0.472972972972973,0.527027027027027
"181","mindepth_10_10_40","locus182",74,NA,1,NA
"182","mindepth_10_10_40","locus183",37,37,0.5,0.5
"183","mindepth_10_10_40","locus184",34,40,0.459459459459459,0.540540540540541
"184","mindepth_10_10_40","locus185",30,44,0.405405405405405,0.594594594594595
"185","mindepth_10_10_40","locus186",40,34,0.540540540540541,0.459459459459459
"186","mindepth_10_10_40","locus187",71,3,0.959459459459459,0.0405405405405405
"187","mindepth_10_10_40","locus188",30,44,0.405405405405405,0.594594594594595
"188","mindepth_10_10_40","locus189",35,39,0.472972972972973,0.527027027027027
"189","mindepth_10_10_40","locus190",30,44,0.405405405405405,0.594594594594595
"190","mindepth_10_10_40","locus191",69,5,0.932432432432432,0.0675675675675676
"191","mindepth_10_10_40","locus192",57,17,0.77027027027027,0.22972972972973
"192","mindepth_10_10_40","locus193",36,38,0.486486486486487,0.513513513513513
"193","mindepth_10_10_40","locus194",40,34,0.540540540540541,0.459459459459459
"194","mindepth_10_10_40","locus195",35,39,0.472972972972973,0.527027027027027
"195","mindepth_10_10_40","locus196",46,28,0.621621621621622,0.378378378378378
"196","mindepth_10_10_40","locus197",31,43,0.418918918918919,0.581081081081081
"197","mindepth_10_10_40","locus198",69,5,0.932432432432432,0.0675675675675676
"198","mindepth_10_10_40","locus199",39,35,0.527027027027027,0.472972972972973
"199","mindepth_10_10_40","locus200",53,21,0.716216216216216,0.283783783783784
"200","mindepth_10_10_40","locus201",31,43,0.418918918918919,0.581081081081081
"201","mindepth_10_10_40","locus202",72,2,0.972972972972973,0.027027027027027
"202","mindepth_10_10_40","locus203",69,5,0.932432432432432,0.0675675675675676
"203","mindepth_10_10_40","locus204",37,37,0.5,0.5
"204","mindepth_10_10_40","locus205",56,18,0.756756756756757,0.243243243243243
"205","mindepth_10_10_40","locus206",37,37,0.5,0.5
"206","mindepth_10_10_40","locus207",67,7,0.905405405405405,0.0945945945945946
"207","mindepth_10_10_40","locus208",30,44,0.405405405405405,0.594594594594595
"208","mindepth_10_10_40","locus209",69,5,0.932432432432432,0.0675675675675676
"209","mindepth_10_10_40","locus210",67,7,0.905405405405405,0.0945945945945946
"210","mindepth_10_10_40","locus211",31,43,0.418918918918919,0.581081081081081
"211","mindepth_10_10_40","locus212",57,17,0.77027027027027,0.22972972972973
"212","mindepth_10_10_40","locus213",44,30,0.594594594594595,0.405405405405405
"213","mindepth_10_10_40","locus214",31,43,0.418918918918919,0.581081081081081
"214","mindepth_10_10_40","locus215",55,19,0.743243243243243,0.256756756756757
"215","mindepth_10_10_40","locus216",34,40,0.459459459459459,0.540540540540541
"216","mindepth_10_10_40","locus217",68,6,0.918918918918919,0.0810810810810811
"217","mindepth_10_10_40","locus218",46,28,0.621621621621622,0.378378378378378
"218","mindepth_10_10_40","locus219",58,16,0.783783783783784,0.216216216216216
"219","mindepth_10_10_40","locus220",47,27,0.635135135135135,0.364864864864865
"220","mindepth_10_10_40","locus221",62,12,0.837837837837838,0.162162162162162
"221","mindepth_10_10_40","locus222",30,44,0.405405405405405,0.594594594594595
"222","mindepth_10_10_40","locus223",35,39,0.472972972972973,0.527027027027027
"223","mindepth_10_10_40","locus224",60,14,0.810810810810811,0.189189189189189
"224","mindepth_10_10_40","locus225",37,37,0.5,0.5
"225","mindepth_10_10_40","locus226",74,NA,1,NA
