"","Id","locus","no_miss","miss","perc_no_miss","perc_miss"
"47","clust_82_40","locus48",30,44,0.405405405405405,0.594594594594595
"48","clust_82_40","locus49",30,44,0.405405405405405,0.594594594594595
"49","clust_82_40","locus50",33,41,0.445945945945946,0.554054054054054
"50","clust_82_40","locus51",65,9,0.878378378378378,0.121621621621622
"51","clust_82_40","locus52",36,38,0.486486486486487,0.513513513513513
"52","clust_82_40","locus53",36,38,0.486486486486487,0.513513513513513
"53","clust_82_40","locus54",31,43,0.418918918918919,0.581081081081081
"54","clust_82_40","locus55",71,3,0.959459459459459,0.0405405405405405
"55","clust_82_40","locus56",69,5,0.932432432432432,0.0675675675675676
"56","clust_82_40","locus57",42,32,0.567567567567568,0.432432432432432
"57","clust_82_40","locus58",52,22,0.702702702702703,0.297297297297297
"58","clust_82_40","locus59",38,36,0.513513513513513,0.486486486486487
"59","clust_82_40","locus60",30,44,0.405405405405405,0.594594594594595
"60","clust_82_40","locus61",33,41,0.445945945945946,0.554054054054054
"61","clust_82_40","locus62",33,41,0.445945945945946,0.554054054054054
"62","clust_82_40","locus63",45,29,0.608108108108108,0.391891891891892
"63","clust_82_40","locus64",32,42,0.432432432432432,0.567567567567568
"64","clust_82_40","locus65",39,35,0.527027027027027,0.472972972972973
"65","clust_82_40","locus66",33,41,0.445945945945946,0.554054054054054
"66","clust_82_40","locus67",54,20,0.72972972972973,0.27027027027027
"67","clust_82_40","locus68",43,31,0.581081081081081,0.418918918918919
"68","clust_82_40","locus69",73,1,0.986486486486487,0.0135135135135135
"69","clust_82_40","locus70",43,31,0.581081081081081,0.418918918918919
"70","clust_82_40","locus71",56,18,0.756756756756757,0.243243243243243
"71","clust_82_40","locus72",74,NA,1,NA
"72","clust_82_40","locus73",47,27,0.635135135135135,0.364864864864865
"73","clust_82_40","locus74",50,24,0.675675675675676,0.324324324324324
"74","clust_82_40","locus75",30,44,0.405405405405405,0.594594594594595
"75","clust_82_40","locus76",65,9,0.878378378378378,0.121621621621622
"76","clust_82_40","locus77",34,40,0.459459459459459,0.540540540540541
"77","clust_82_40","locus78",30,44,0.405405405405405,0.594594594594595
"78","clust_82_40","locus79",39,35,0.527027027027027,0.472972972972973
"79","clust_82_40","locus80",35,39,0.472972972972973,0.527027027027027
"80","clust_82_40","locus81",58,16,0.783783783783784,0.216216216216216
"81","clust_82_40","locus82",47,27,0.635135135135135,0.364864864864865
"82","clust_82_40","locus83",37,37,0.5,0.5
"83","clust_82_40","locus84",37,37,0.5,0.5
"84","clust_82_40","locus85",31,43,0.418918918918919,0.581081081081081
"85","clust_82_40","locus86",30,44,0.405405405405405,0.594594594594595
"86","clust_82_40","locus87",35,39,0.472972972972973,0.527027027027027
"87","clust_82_40","locus88",30,44,0.405405405405405,0.594594594594595
"88","clust_82_40","locus89",30,44,0.405405405405405,0.594594594594595
"89","clust_82_40","locus90",30,44,0.405405405405405,0.594594594594595
"90","clust_82_40","locus91",56,18,0.756756756756757,0.243243243243243
"91","clust_82_40","locus92",41,33,0.554054054054054,0.445945945945946
"92","clust_82_40","locus93",45,29,0.608108108108108,0.391891891891892
"93","clust_82_40","locus94",42,32,0.567567567567568,0.432432432432432
"94","clust_82_40","locus95",43,31,0.581081081081081,0.418918918918919
"95","clust_82_40","locus96",31,43,0.418918918918919,0.581081081081081
"96","clust_82_40","locus97",45,29,0.608108108108108,0.391891891891892
"97","clust_82_40","locus98",63,11,0.851351351351351,0.148648648648649
"98","clust_82_40","locus99",65,9,0.878378378378378,0.121621621621622
"99","clust_82_40","locus100",45,29,0.608108108108108,0.391891891891892
"100","clust_82_40","locus101",31,43,0.418918918918919,0.581081081081081
"101","clust_82_40","locus102",47,27,0.635135135135135,0.364864864864865
"102","clust_82_40","locus103",33,41,0.445945945945946,0.554054054054054
"103","clust_82_40","locus104",46,28,0.621621621621622,0.378378378378378
"104","clust_82_40","locus105",72,2,0.972972972972973,0.027027027027027
"105","clust_82_40","locus106",71,3,0.959459459459459,0.0405405405405405
